Breed,Dog_group,Energy,Size,Popularity
akita,working,2,3,47
alaskan_husky,working,3,2,12
american_bulldog,non_sporting,2,2,4
american_eskimo,non_sporting,2,2,123
american_pit_bull_terrier,terrier,2,2,80
american_staffordshire_terrier,terrier,2,2,80
anatol_shepherd,working,2,3,96
australian_cattle_dog,herding,3,2,58
australian_kelpie,herding,3,2,58
australian_shepherd,herding,3,2,17
basenji,hound,3,2,91
basset_hound,hound,2,2,40
beagle,hound,2,1,5
belgian_malinois,herding,3,3,52
bichon_frise,non_sporting,2,1,45
black,terrier,2,2,58
black_mouth_cur,hound,3,2,58
blue_lacy,working,3,2,58
border_collie,herding,3,2,39
border_terrier,terrier,2,1,83
boston_terrier,non_sporting,2,1,23
boxer,working,3,2,10
bruss_griffon,toy,2,1,99
bull_terrier,terrier,3,2,56
cairn_terrier,terrier,2,1,72
cardigan_welsh_corgi,herding,2,2,79
carolina_dog,misc,2,2,58
catahoula,working,2,3,58
chihuahua_longhair,toy,2,1,29
chihuahua_shorthair,toy,2,1,29
chinese_sharpei,non_sporting,2,2,61
chow_chow,non_sporting,2,2,76
cocker_spaniel,sporting,2,2,31
collie_rough,herding,2,2,124
collie_smooth,herding,2,3,37
dachshund,hound,2,1,13
dachshund_longhair,hound,2,1,13
dachshund_wirehair,hound,2,1,13
dalmatian,non_sporting,3,2,64
doberman_pinsch,working,3,2,14
dogo_argentino,misc,2,3,58
english_bulldog,non_sporting,2,2,5
flat_coat_retriever,sporting,3,3,90
german_shepherd,herding,2,3,2
german_shorthair_pointer,sporting,3,2,11
golden_retriever,sporting,2,3,3
great_dane,working,2,3,15
great_pyrenees,working,2,3,69
greyhound,hound,2,3,152
harrier,hound,3,2,188
italian_greyhound,toy,2,1,73
jack_russell_terrier,terrier,3,2,115
labrador_retriever,sporting,3,2,1
lhasa_apso,non_sporting,2,1,65
maltese,toy,2,1,32
manchester_terrier,terrier,2,1,142
mastiff,working,2,3,26
miniature_pinscher,toy,2,1,66
miniature_poodle,non_sporting,2,2,8
miniature_schnauzer,terrier,2,1,16
norfolk_terrier,terrier,2,1,136
norwich_terrier,terrier,2,1,107
papillon,toy,2,1,49
parson_russell_terrier,terrier,3,2,115
pekingese,toy,1,1,83
pembroke_welsh_corgi,herding,2,2,21
pharaoh_hound,hound,2,2,176
pit_bull,terrier,2,2,80
plott_hound,hound,2,2,150
pointer,sporting,2,2,113
pomeranian,toy,2,1,22
pug,toy,2,1,34
queensland_heeler,herding,3,2,58
rare,terrier,2,2,58
rat_terrier,terrier,2,1,105
redbone_hound,hound,2,2,144
rhod_ridgeback,hound,2,2,41
rottweiler,working,2,2,9
shetland_sheepdog,herding,2,2,24
shiba_inu,non_sporting,2,2,46
shih_tzu,toy,2,1,20
siberian_husky,working,3,2,12
smooth_fox_terrier,terrier,2,2,127
soft_coated_wheaten_terrier,terrier,2,2,48
staffordshire,terrier,2,2,81
standard_poodle,non_sporting,2,2,8
standard_schnauzer,working,2,2,95
toy_poodle,non_sporting,2,2,8
vizsla,sporting,3,2,33
weimaraner,sporting,3,2,34
west_highland,terrier,2,1,42
whippet,hound,2,2,59
wire_hair_fox_terrier,terrier,2,2,98
yorkshire_terrier,toy,2,1,7
